"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:29","","","","","--","example product","example, Inc.","","","","Recurring Fee","2016/10/01 0:00:00","2016/10/31 23:59:59","0","","USD","39","0","0","None","39"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:29","","","","","--","example product","example, Inc.","APN1-SoftwareUsage:t1.micro","Hourly","","AWS Marketplace Hourly Fee ap-northeast-1 t1.micro","2016/09/01 0:00:00","2016/09/30 23:59:59","720","","USD","54","0","0","None","54"
"12345678","ZZZ191002ZZZ","","InvoiceTotal","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:29","","","","","","","","","","","Total amount for invoice 12345678","","","","","USD","93","0","0","","93"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:23","","","","","AmazonCloudFront","Amazon CloudFront","Amazon Web Services, Inc.","CA-Requests-HTTPS-Proxy","","","$0.0100 per 10,000 Proxy HTTPS Requests (Canada)","2016/09/01 0:00:00","2016/09/30 23:59:59","68","","USD","0.01","0","0","None","0.01"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:23","","","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Web Services, Inc.","APS1-TimedStorage-ByteHrs","","","$0.03 per GB-mo of log storage - Asia Pacific (Singapore)","2016/09/01 0:00:00","2016/09/30 23:59:59","0.00000814","","USD","0","0","0","None","0"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:23","","","","","AmazonCloudFront","Amazon CloudFront","Amazon Web Services, Inc.","EU-Requests-HTTPS-Proxy","","","$0.0120 per 10,000 Proxy HTTPS Requests (Europe)","2016/09/01 0:00:00","2016/09/30 23:59:59","1354","","USD","0.01","0","0","None","0.01"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:23","","","","","AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","APN1-DataTransfer-Out-Bytes","","","$0.130 per GB - next 100 TB / month data transfer out","2016/09/01 0:00:00","2016/09/30 23:59:59","102400","","USD","13312","0","1064.952446","CT","14376.95245"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:23","","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","APN1-BoxUsage:t2.medium","RunInstances","","$0.080 per On Demand Linux t2.medium Instance Hour","2016/09/01 0:00:00","2016/09/30 23:59:59","11810","","USD","944.8","0","75.58","CT","1020.38"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:23","","","","","AWSCloudTrail","AWS CloudTrail","Amazon Web Services, Inc.","APN2-FreeEventsRecorded","","","0.0 per free event recorded in Asia Pacific (Seoul) region","2016/09/01 0:00:00","2016/09/30 23:59:59","697","","USD","0","0","0","None","0"
"12345678","ZZZ191002ZZZ","","PayerLineItem","","2016/09/01 0:00:00","2016/09/30 23:59:59","2016/10/03 12:05:23","","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Web Services, Inc.","APN1-EBSOptimized:r3.2xlarge","Hourly","","$0.05 for 1000 Mbps per r3.2xlarge instance-hour (or partial hour)","2016/09/01 0:00:00","2016/09/30 23:59:59","720","","USD","36","0","2.88","CT","38.88"
